id,subject,category,date,note,amount
1,Freelance Work,Salary,05-01-2024,Completed web design,1500
2,Consulting,Other,15-01-2024,Business consultation,2000
3,Sale of Goods,Bank,10-02-2024,Sold electronics,300
4,Investment,Stock Market,20-02-2024,Quarterly dividend,500
5,Rent,Bank,01-03-2024,Monthly rent,1200
6,Freelance Work,Salary,10-03-2024,Graphic design,800
7,Product Sale,Bank,15-03-2024,Sold furniture,450
8,Stock Sale,Stock Market,01-04-2024,Sold shares,2500
9,Interest Income,Bank,15-04-2024,Savings account,100
10,Online Course,Other,05-05-2024,Sold course access,300
11,Freelance Writing,Salary,15-05-2024,Completed article,600
12,Commission,Bank,01-06-2024,Sales commission,400
13,Book Sale,Other,10-06-2024,Sold eBook,50
14,Rental Income,Bank,20-06-2024,Vacation rental,900
15,Royalty,Other,01-07-2024,Music royalties,700
16,Affiliate Income,Other,15-07-2024,Affiliate sales,300
17,Event Hosting,Salary,01-08-2024,Hosted workshop,1200
18,Dividend,Stock Market,10-08-2024,Annual dividend,450
19,Property Sale,Stock Market,20-08-2024,Sold property,50000
20,Consultation,Other,01-09-2024,Financial advice,1000
